기준연월,목적지 유형,목적지 검색량
202204,전체,481085
202207,전체,687062
202202,전체,482739
202206,전체,582784
202208,전체,872243
202201,전체,473957
202203,전체,298389
202211,전체,393997
202209,전체,462922
202210,전체,561702
202212,전체,465425
202205,전체,557294
202204,숙박,84881
202204,음식,191142
202204,기타관광,25475
202204,문화관광,37481
202204,쇼핑,27662
202204,자연관광,87488
202204,역사관광,17385
202204,체험관광,587
202204,레저스포츠,8984
202207,숙박,136212
202207,음식,278800
202207,기타관광,34592
202207,문화관광,47290
202207,쇼핑,35619
202207,자연관광,124164
202207,역사관광,16127
202207,체험관광,497
202207,레저스포츠,13761
202202,숙박,84576
202202,음식,197237
202202,기타관광,21450
202202,문화관광,46164
202202,쇼핑,34375
202202,자연관광,78809
202202,역사관광,12283
202202,체험관광,644
202202,레저스포츠,7201
202206,숙박,109259
202206,음식,237580
202206,기타관광,30427
202206,문화관광,45035
202206,쇼핑,33209
202206,자연관광,99396
202206,역사관광,16053
202206,체험관광,503
202206,레저스포츠,11322
202208,숙박,163930
202208,음식,359442
202208,기타관광,41452
202208,문화관광,64423
202208,쇼핑,44313
202208,자연관광,158970
202208,역사관광,21257
202208,체험관광,670
202208,레저스포츠,17786
202201,숙박,79468
202201,음식,184955
202201,기타관광,23014
202201,문화관광,45259
202201,쇼핑,36506
202201,자연관광,85615
202201,역사관광,12813
202201,체험관광,597
202201,레저스포츠,5730
202203,숙박,54258
202203,음식,122127
202203,기타관광,15790
202203,문화관광,23354
202203,쇼핑,19505
202203,자연관광,50868
202203,역사관광,7464
202203,체험관광,434
202203,레저스포츠,4589
202211,숙박,73915
202211,음식,156550
202211,기타관광,23198
202211,문화관광,30650
202211,쇼핑,24291
202211,자연관광,63845
202211,역사관광,11512
202211,체험관광,868
202211,레저스포츠,9168
202209,숙박,87821
202209,음식,181825
202209,기타관광,29071
202209,문화관광,32930
202209,쇼핑,24583
202209,자연관광,81381
202209,역사관광,13417
202209,체험관광,840
202209,레저스포츠,11054
202210,숙박,101650
202210,음식,220020
202210,기타관광,32779
202210,문화관광,42881
202210,쇼핑,33479
202210,자연관광,97498
202210,역사관광,17859
202210,체험관광,2649
202210,레저스포츠,12887
202212,숙박,91377
202212,음식,197908
202212,기타관광,24271
202212,문화관광,36948
202212,쇼핑,29090
202212,자연관광,66493
202212,역사관광,10498
202212,체험관광,705
202212,레저스포츠,8135
202205,숙박,100879
202205,음식,225137
202205,기타관광,29340
202205,문화관광,44378
202205,쇼핑,32064
202205,자연관광,96758
202205,역사관광,16487
202205,체험관광,658
202205,레저스포츠,11593
