기준연월,여행유형/트렌드명,언급건수
202308,레포츠,8939
202308,휴식/힐링,8753
202306,휴식/힐링,8551
202306,레포츠,8194
202307,레포츠,8158
202307,휴식/힐링,7914
202310,휴식/힐링,7453
202309,휴식/힐링,7386
202305,휴식/힐링,7174
202305,레포츠,6566
202303,휴식/힐링,6538
202310,레포츠,6483
202311,휴식/힐링,6372
202312,휴식/힐링,6241
202304,휴식/힐링,6195
202309,레포츠,6035
202301,휴식/힐링,5391
202312,레포츠,5377
202302,휴식/힐링,5327
202311,레포츠,5076
202301,레포츠,4829
202302,레포츠,4664
202303,레포츠,4660
202304,레포츠,4555
202305,기타,2068
202306,기타,1998
202308,기타,1966
202307,기타,1814
202312,기타,1665
202309,기타,1646
202303,기타,1634
202310,기타,1606
202311,기타,1496
202301,기타,1448
202302,기타,1377
202304,기타,1293
202308,미식,1212
202307,미식,1173
202306,체험,900
202306,미식,894
202309,미식,883
202302,미식,838
202305,미식,810
202303,미식,784
202301,미식,772
202308,체험,753
202304,미식,715
202311,미식,712
202305,체험,685
202312,미식,670
202307,체험,669
202310,미식,634
202309,체험,627
202310,체험,616
202303,체험,441
202301,체험,439
202311,체험,438
202304,체험,395
202312,체험,391
202302,체험,357
