순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,강원특별자치도,강릉시,오죽헌.시립박물관,202301,37111.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202302,49742.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202303,44379.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202304,55879.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202305,64726.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202306,43292.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202307,45140.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202308,53070.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202309,42632.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202310,67366.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202311,37838.0,573802.0
1,강원특별자치도,강릉시,오죽헌.시립박물관,202312,32627.0,573802.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202301,67820.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202302,74418.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202303,63148.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202304,19584.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202305,23962.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202306,43546.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202307,21954.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202308,22120.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202309,19327.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202310,28512.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202311,14682.0,409253.0
2,강원특별자치도,강릉시,강릉정동진레일바이크,202312,10180.0,409253.0
3,강원특별자치도,강릉시,하슬라아트월드,202301,27031.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202302,35762.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202303,21676.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202304,26537.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202305,33568.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202306,31209.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202307,35620.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202308,45868.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202309,28419.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202310,33725.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202311,26115.0,373754.0
3,강원특별자치도,강릉시,하슬라아트월드,202312,28224.0,373754.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202301,12686.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202302,19094.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202303,27248.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202304,38537.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202305,34825.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202306,30787.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202307,14722.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202308,17537.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202309,23373.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202310,38210.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202311,18514.0,288427.0
4,강원특별자치도,강릉시,정동심곡바다부채길,202312,12894.0,288427.0
5,강원특별자치도,강릉시,정동진역,202301,25924.0,243103.0
5,강원특별자치도,강릉시,정동진역,202302,28198.0,243103.0
5,강원특별자치도,강릉시,정동진역,202303,21057.0,243103.0
5,강원특별자치도,강릉시,정동진역,202304,18587.0,243103.0
5,강원특별자치도,강릉시,정동진역,202305,19662.0,243103.0
5,강원특별자치도,강릉시,정동진역,202306,20085.0,243103.0
5,강원특별자치도,강릉시,정동진역,202307,16372.0,243103.0
5,강원특별자치도,강릉시,정동진역,202308,21647.0,243103.0
5,강원특별자치도,강릉시,정동진역,202309,15253.0,243103.0
5,강원특별자치도,강릉시,정동진역,202310,20791.0,243103.0
5,강원특별자치도,강릉시,정동진역,202311,14444.0,243103.0
5,강원특별자치도,강릉시,정동진역,202312,21083.0,243103.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202301,14294.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202302,14315.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202303,12708.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202304,16978.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202305,15943.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202306,15412.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202307,15534.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202308,20678.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202309,14365.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202310,10256.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202311,10057.0,170455.0
6,강원특별자치도,강릉시,썬크루즈조각공원,202312,9915.0,170455.0
7,강원특별자치도,강릉시,대관령자연휴양림,202301,7131.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202302,8742.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202303,7221.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202304,7790.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202305,10582.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202306,15182.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202307,14097.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202308,18372.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202309,28372.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202310,27811.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202311,9796.0,162488.0
7,강원특별자치도,강릉시,대관령자연휴양림,202312,7392.0,162488.0
8,강원특별자치도,강릉시,선교장,202301,5418.0,105287.0
8,강원특별자치도,강릉시,선교장,202302,6063.0,105287.0
8,강원특별자치도,강릉시,선교장,202303,7160.0,105287.0
8,강원특별자치도,강릉시,선교장,202304,9708.0,105287.0
8,강원특별자치도,강릉시,선교장,202305,12350.0,105287.0
8,강원특별자치도,강릉시,선교장,202306,6825.0,105287.0
8,강원특별자치도,강릉시,선교장,202307,10776.0,105287.0
8,강원특별자치도,강릉시,선교장,202308,12977.0,105287.0
8,강원특별자치도,강릉시,선교장,202309,11388.0,105287.0
8,강원특별자치도,강릉시,선교장,202310,14253.0,105287.0
8,강원특별자치도,강릉시,선교장,202311,5704.0,105287.0
8,강원특별자치도,강릉시,선교장,202312,2665.0,105287.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202301,2414.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202302,2407.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202303,2821.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202304,2754.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202305,566.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202306,2948.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202307,2898.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202308,2774.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202309,2727.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202310,25324.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202311,27020.0,102495.0
9,강원특별자치도,강릉시,강릉임해자연휴양림,202312,27842.0,102495.0
10,강원특별자치도,강릉시,메이플비치골프장,202301,2300.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202302,3400.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202303,7400.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202304,2372.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202305,3472.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202306,7465.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202307,10424.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202308,9883.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202309,9142.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202310,11111.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202311,9287.0,80463.0
10,강원특별자치도,강릉시,메이플비치골프장,202312,4207.0,80463.0
11,강원특별자치도,강릉시,강릉아트센터,202301,779.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202302,6326.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202303,2698.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202304,4417.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202305,4135.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202306,7228.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202307,7637.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202308,4953.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202309,7960.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202310,7422.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202311,6705.0,70267.0
11,강원특별자치도,강릉시,강릉아트센터,202312,10007.0,70267.0
12,강원특별자치도,강릉시,통일공원,202301,4786.0,62291.0
12,강원특별자치도,강릉시,통일공원,202302,4316.0,62291.0
12,강원특별자치도,강릉시,통일공원,202303,4897.0,62291.0
12,강원특별자치도,강릉시,통일공원,202304,5374.0,62291.0
12,강원특별자치도,강릉시,통일공원,202305,6259.0,62291.0
12,강원특별자치도,강릉시,통일공원,202306,5007.0,62291.0
12,강원특별자치도,강릉시,통일공원,202307,4271.0,62291.0
12,강원특별자치도,강릉시,통일공원,202308,4531.0,62291.0
12,강원특별자치도,강릉시,통일공원,202309,5543.0,62291.0
12,강원특별자치도,강릉시,통일공원,202310,6670.0,62291.0
12,강원특별자치도,강릉시,통일공원,202311,5545.0,62291.0
12,강원특별자치도,강릉시,통일공원,202312,5092.0,62291.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202301,863.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202302,2433.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202303,6659.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202304,2152.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202305,0.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202306,0.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202307,7023.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202308,6938.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202309,6502.0,50614.0
13,강원특별자치도,강릉시,샌드파인골프클럽,202310,8152.0,50614.0
