순위,업소명,주소,분류
1,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식
2,테라로사커피공장강릉본점,강원 강릉시 현천길 27-0,카페/찻집
3,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집
4,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식
5,강릉커피거리,강원 강릉시 창해로14번길 0-0,음식점기타
6,갤러리밥스,강원 강릉시 난설헌로 144-0,한식
7,곳,강원 강릉시 진리해변길 143-0,카페/찻집
8,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집
9,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집
10,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,카페/찻집
11,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식
12,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집
13,장안횟집,강원 강릉시 진리항구길 51-0,전문음식
14,순두부젤라또3호점,강원 강릉시 해안로 1603-0,카페/찻집
15,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식
16,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집
17,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집
18,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식
19,9남매두부집,강원 강릉시 초당원길 63-2,한식
20,원조강릉교동반점본점 [중식],강원 강릉시 강릉대로 205-0,외국식
21,고선생화덕생선구이,강원 강릉시 해안로 286-0,한식
22,해성횟집,강원 강릉시 금성로 21-0,전문음식
23,초당두부마을,강원 강릉시,음식점기타
24,바우카페본점,강원 강릉시 진리해변길 109-1,카페/찻집
25,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집
26,벌집,강원 강릉시 경강로2069번길 15-0,한식
27,346커피스토리,강원 강릉시 창해로 346-0,카페/찻집
28,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,간이음식
29,삼교리동치미막국수본점,강원 강릉시 범일로 364-0,한식
30,풍년갈비,강원 강릉시 강릉대로587번길 10-5,한식
31,강릉감자바우,강원 강릉시 금성로35번길 4-0,한식
32,스타벅스강릉율곡DT점,강원 강릉시 율곡로 2996-0,카페/찻집
33,현대장칼국수,강원 강릉시 임영로182번길 7-1,한식
34,만동제과,강원 강릉시 금성로 6-0,간이음식
35,고씨네동해막국수강문본점,강원 강릉시 창해로350번길 25-0,한식
36,이모네생선찜,강원 강릉시 가작로 8-0,한식
37,철뚝소머리국밥,강원 강릉시 아래사다리길 51-0,한식
38,만석닭강정안목직영점,강원 강릉시 창해로2번길 32-0,간이음식
