기준연월,업종대분류명,소비액(천원)
202212,전체,9.8434562E7
202201,전체,9.7465832E7
202202,전체,8.2937149E7
202203,전체,7.0793096E7
202204,전체,1.02273191E8
202205,전체,1.28369568E8
202206,전체,1.26261473E8
202207,전체,1.4745377E8
202208,전체,1.67053859E8
202209,전체,1.14182069E8
202210,전체,1.35359079E8
202211,전체,9.803031E7
202210,쇼핑업,1.6361331E7
202208,운송업,145410.0
202210,운송업,226530.0
202210,숙박업,1.7464857E7
202209,여행업,317343.0
202209,식음료업,6.0964542E7
202209,여가서비스업,2.3220443E7
202209,쇼핑업,1.447462E7
202209,운송업,105182.0
202209,숙박업,1.5099939E7
202208,여행업,570344.0
202208,식음료업,9.3851186E7
202208,여가서비스업,2.6141283E7
202208,쇼핑업,1.4639611E7
202208,숙박업,3.1706026E7
202210,여가서비스업,2.6398731E7
202210,식음료업,7.4407916E7
202210,여행업,499713.0
202211,숙박업,1.1551722E7
202211,운송업,105075.0
202211,쇼핑업,1.3492571E7
202211,여가서비스업,1.9111448E7
202211,식음료업,5.3466431E7
202211,여행업,303063.0
202212,숙박업,1.8158877E7
202212,운송업,62616.0
202212,쇼핑업,1.5519969E7
202212,여가서비스업,8750245.0
202212,식음료업,5.5716521E7
202212,여행업,226333.0
202202,식음료업,4.4666268E7
202204,쇼핑업,1.4916955E7
202204,운송업,63098.0
202204,숙박업,1.1703977E7
202203,여행업,170724.0
202203,식음료업,3.6745869E7
202203,여가서비스업,1.3367848E7
202203,쇼핑업,1.2256097E7
202203,운송업,29316.0
202203,숙박업,8223243.0
202202,여행업,208253.0
202204,여가서비스업,2.1751022E7
202202,여가서비스업,8923595.0
202202,쇼핑업,1.1928639E7
202202,운송업,43880.0
202202,숙박업,1.7166515E7
202201,여행업,230240.0
202201,식음료업,5.3137848E7
202201,여가서비스업,7854986.0
202201,쇼핑업,1.5453237E7
202201,운송업,51621.0
202206,운송업,119819.0
202207,여행업,651482.0
202207,식음료업,7.9004011E7
202207,여가서비스업,2.6066963E7
202207,쇼핑업,1.5110508E7
202207,운송업,125164.0
202207,숙박업,2.6495641E7
202206,여행업,480660.0
202206,식음료업,6.7835396E7
202206,여가서비스업,2.5635584E7
202206,쇼핑업,1.4287283E7
202201,숙박업,2.07379E7
202206,숙박업,1.790273E7
202205,여행업,440724.0
202205,식음료업,6.7054378E7
202205,여가서비스업,2.8032321E7
202205,쇼핑업,1.6365495E7
202205,운송업,99817.0
202205,숙박업,1.6376833E7
202204,여행업,323375.0
202204,식음료업,5.3514763E7
