기준연월,목적지 유형,목적지 검색량
202204,전체,2447174
202207,전체,4029112
202202,전체,2190340
202206,전체,3310686
202208,전체,4943373
202201,전체,2161714
202203,전체,1464929
202211,전체,2341006
202209,전체,2820325
202210,전체,3722935
202212,전체,2365725
202205,전체,3163435
202204,숙박,473736
202204,음식,814439
202204,기타관광,223274
202204,쇼핑,130376
202204,문화관광,220150
202204,역사관광,76210
202204,자연관광,287688
202204,체험관광,13353
202204,레저스포츠,207948
202207,숙박,953845
202207,음식,1305543
202207,기타관광,283172
202207,쇼핑,194627
202207,문화관광,358238
202207,역사관광,90133
202207,자연관광,547038
202207,체험관광,18221
202207,레저스포츠,278295
202202,숙박,493175
202202,음식,725077
202202,기타관광,184264
202202,쇼핑,136003
202202,문화관광,193118
202202,역사관광,65718
202202,자연관광,244291
202202,체험관광,9750
202202,레저스포츠,138944
202206,숙박,720658
202206,음식,1091387
202206,기타관광,265632
202206,쇼핑,168153
202206,문화관광,311035
202206,역사관광,89766
202206,자연관광,386652
202206,체험관광,20890
202206,레저스포츠,256513
202208,숙박,1135940
202208,음식,1621485
202208,기타관광,336971
202208,쇼핑,250000
202208,문화관광,447895
202208,역사관광,114951
202208,자연관광,717515
202208,체험관광,22355
202208,레저스포츠,296261
202201,숙박,495532
202201,음식,662309
202201,기타관광,194532
202201,쇼핑,138679
202201,문화관광,197133
202201,역사관광,67419
202201,자연관광,267177
202201,체험관광,10518
202201,레저스포츠,128415
202203,숙박,268223
202203,음식,512849
202203,기타관광,141170
202203,쇼핑,85659
202203,자연관광,160589
202203,문화관광,118462
202203,역사관광,42100
202203,체험관광,6932
202203,레저스포츠,128945
202211,숙박,465390
202211,음식,775019
202211,기타관광,226907
202211,쇼핑,131836
202211,문화관광,208637
202211,역사관광,84811
202211,자연관광,243846
202211,체험관광,13064
202211,레저스포츠,191496
202209,숙박,585726
202209,음식,892067
202209,기타관광,263042
202209,쇼핑,147336
202209,문화관광,267906
202209,역사관광,83630
202209,자연관광,328696
202209,체험관광,16364
202209,레저스포츠,235558
202210,숙박,748999
202210,음식,1160380
202210,기타관광,375329
202210,쇼핑,197604
202210,문화관광,360244
202210,역사관광,157178
202210,자연관광,430124
202210,체험관광,24797
202210,레저스포츠,268280
202212,숙박,586519
202212,음식,827429
202212,기타관광,192522
202212,쇼핑,144840
202212,문화관광,207363
202212,역사관광,53878
202212,자연관광,219908
202212,체험관광,12303
202212,레저스포츠,120963
202205,숙박,627224
202205,음식,1050092
202205,기타관광,273985
202205,쇼핑,161144
202205,문화관광,313405
202205,역사관광,98524
202205,자연관광,360828
202205,체험관광,19089
202205,레저스포츠,259144
