기준연월,여행유형/트렌드명,언급건수
202208,레포츠,67901
202207,레포츠,57123
202210,레포츠,52896
202207,휴식/힐링,52547
202206,레포츠,51590
202209,레포츠,49339
202208,휴식/힐링,45157
202205,레포츠,42701
202212,레포츠,41846
202211,레포츠,40990
202210,휴식/힐링,40501
202206,휴식/힐링,38735
202209,휴식/힐링,37917
202201,레포츠,36547
202205,휴식/힐링,35232
202211,휴식/힐링,31788
202202,레포츠,29341
202212,휴식/힐링,28739
202204,레포츠,25952
202201,휴식/힐링,24944
202203,레포츠,23861
202204,휴식/힐링,22540
202202,휴식/힐링,20339
202203,휴식/힐링,19818
202208,기타,13482
202206,기타,11353
202207,기타,9581
202210,기타,9348
202209,기타,9157
202205,기타,9065
202211,기타,8380
202212,기타,6901
202201,기타,5716
202204,기타,5359
202202,기타,5063
202208,체험,4938
202203,기타,4911
202205,체험,4622
202208,미식,4608
202206,체험,4451
202207,체험,4282
202209,체험,4101
202207,미식,3929
202210,체험,3786
202209,미식,3687
202206,미식,3310
202211,체험,3267
202210,미식,3176
202212,체험,2997
202205,미식,2898
202201,미식,2732
202212,미식,2563
202211,미식,2558
202202,미식,2343
202201,체험,2143
202204,체험,2084
202204,미식,2080
202203,미식,2054
202203,체험,1980
202202,체험,1880
