순위,관광지명,주소,분류
1,속초관광수산시장,강원 속초시 중앙로147번길 16-0,시장
2,속초해변,강원 속초시 해오름로 186-0,자연경관(하천/해양)
3,경포해변,강원 강릉시,자연경관(하천/해양)
4,쏠비치삼척,강원 삼척시 수로부인길 453-0,콘도미니엄
5,주문진항,강원 강릉시 해안로 1758-14,자연경관(하천/해양)
6,강릉중앙시장,강원 강릉시 금성로 21-0,시장
7,강원랜드카지노,강원 정선군 하이원길 265-0,기타문화관광지
8,쏠비치양양,강원 양양군 선사유적로 678-0,콘도미니엄
9,비발디파크 오션월드,강원 홍천군 한치골길 262-0,테마공원
10,낙산사,강원 양양군 낙산사로 100-0,종교성지
11,설악케이블카,강원 속초시 설악산로 1085-0,기타관광
12,레고랜드코리아리조트,강원 춘천시 하중도길 125-0,테마공원
13,대포항,강원 속초시,자연경관(하천/해양)
14,한화리조트설악쏘라노,강원 속초시 미시령로2983번길 111-0,콘도미니엄
15,주문진수산시장,강원 강릉시 시장1길 4-1,시장
16,휘닉스평창,강원 평창군 태기로 174-0,복합관광시설
17,세인트존스호텔,강원 강릉시 창해로 307-0,호텔
18,아르떼뮤지엄강릉,강원 강릉시 난설헌로 131-0,전시시설
19,체스터톤스속초,강원 속초시 엑스포로 109-0,호텔
20,하이원리조트,강원 정선군 하이원길 424-0,콘도미니엄
21,서피비치,강원 양양군 하조대해안길 119-0,수상레저스포츠
22,소노벨비발디파크,강원 홍천군 한치골길 262-0,콘도미니엄
23,안목해변,강원 강릉시 창해로14번길 20-1,자연경관(하천/해양)
24,남이섬,강원 춘천시 남이섬길 1-0,자연경관(하천/해양)
25,원주소금산출렁다리,강원 원주시 소금산길 12-0,기타관광
26,웰리힐리파크,강원 횡성군 고원로 451-0,콘도미니엄
27,원주종합버스터미널,강원 원주시 서원대로 171-0,교통시설
28,롯데리조트속초,강원 속초시 대포항길 186-0,콘도미니엄
29,소노캄델피노,강원 고성군 미시령옛길 1153-0,콘도미니엄
30,동명항,강원 속초시 동명항길 50-0,자연경관(하천/해양)
31,경포대,강원 강릉시 경포로 365-0,역사유적지
32,모나용평리조트,강원 평창군 올림픽로 715-0,콘도미니엄
33,소노펠리체 비발디파크,강원 홍천군 한치골길 262-0,콘도미니엄
34,속초아이대관람차,강원 속초시 청호해안길 2-0,기타관광
35,스카이베이호텔경포,강원 강릉시 해안로 476-0,호텔
36,대관령양떼목장,강원 평창군 대관령마루길 483-32,기타관광
37,낙산해변,강원 양양군 해맞이길 59-0,자연경관(하천/해양)
38,강릉역,강원 강릉시 용지로 176-0,교통시설
39,오크밸리CC,강원 원주시 월송석화로 950-0,육상레저스포츠
40,아야진해수욕장,강원 고성군,자연경관(하천/해양)
41,고성통일전망대,강원 고성군 금강산로 481-0,랜드마크관광
42,월정사,강원 평창군 오대산로 374-8,종교성지
43,정선아리랑시장,강원 정선군 봉양7길 39-0,시장
44,휴휴암,강원 양양군 광진2길 3-16,종교성지
45,고석정국민관광지,강원 철원군 창동로 2386-0,복합관광시설
46,강원랜드,강원 정선군 하이원길 265-0,복합관광시설
47,알펜시아리조트,강원 평창군 솔봉로 325-0,콘도미니엄
48,센추리21CC,강원 원주시 궁말길 193-0,육상레저스포츠
49,묵호항,강원 동해시,자연경관(하천/해양)
50,춘천삼악산호수케이블카,강원 춘천시 스포츠타운길 245-0,기타관광
51,라마다호텔강원속초,강원 속초시 대포항희망길 106-0,호텔
52,강문해변,강원 강릉시,자연경관(하천/해양)
53,홍천종합버스터미널,강원 홍천군 홍천로 301-0,교통시설
54,장호항,강원 삼척시 장호항길 103-0,자연경관(하천/해양)
55,영금정전망대,강원 속초시,랜드마크관광
56,정동진,강원 강릉시 정동역길 17-0,복합관광시설
57,촛대바위,강원 동해시,기타관광
58,하조대해변,강원 양양군,자연경관(하천/해양)
59,라카이샌드파인리조트,강원 강릉시 해안로 536-0,콘도미니엄
60,라마다호텔앤스위트강원평창,강원 평창군 오목길 107-0,호텔
61,양양전통시장,강원 양양군 남문5길 9-0,시장
62,춘천역,강원 춘천시 공지로 591-0,교통시설
63,삼양대관령목장,강원 평창군 꽃밭양지길 708-9,기타관광
64,하슬라아트월드,강원 강릉시 율곡로 1441-0,복합관광시설
65,켄싱턴리조트설악비치,강원 고성군 동해대로 4800-0,콘도미니엄
66,설해원CC,강원 양양군 공항로 230-0,육상레저스포츠
67,엘리시안강촌CC,강원 춘천시 북한강변길 688-0,육상레저스포츠
68,클럽모우GC,강원 홍천군 장락동길 111-0,육상레저스포츠
69,호텔탑스텐강릉,강원 강릉시 헌화로 455-34,호텔
70,뮤지엄산,강원 원주시 오크밸리2길 260-0,전시시설
