순위,업소명,주소,분류
1,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식
2,청초수물회속초본점,강원 속초시 엑스포로 12-36,전문음식
3,바다정원,강원 고성군 버리깨길 23-0,카페/찻집
4,통나무집닭갈비본점,강원 춘천시 신샘밭로 763-0,전문음식
5,강릉커피거리,강원 강릉시 창해로14번길 0-0,음식점기타
6,봉포머구리집속초본점,강원 속초시 영랑해안길 223-0,전문음식
7,만석닭강정본점,강원 속초시 청초호반로 72-0,간이음식
8,테라로사커피공장강릉본점,강원 강릉시 현천길 27-0,카페/찻집
9,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집
10,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식
11,카페감자밭,강원 춘천시 신샘밭로 674-0,카페/찻집
12,양지말화로구이,강원 홍천군 양지말길 17-4,한식
13,88생선구이,강원 속초시 중앙부두길 71-0,한식
14,백촌막국수,강원 고성군 백촌1길 10-0,한식
15,곳,강원 강릉시 진리해변길 143-0,카페/찻집
16,토담숯불닭갈비,강원 춘천시 신샘밭로 662-0,전문음식
17,갤러리밥스,강원 강릉시 난설헌로 144-0,한식
18,김영애할머니순두부본점,강원 속초시 원암학사평길 183-0,한식
19,감나무식당,강원 양양군 안산1길 73-6,한식
20,스타벅스속초DT점,강원 속초시 동해대로 4114-0,카페/찻집
21,스타벅스춘천구봉산R점,강원 춘천시 순환대로 1154-63,카페/찻집
22,봉브레드,강원 속초시 동해대로 4344-1,간이음식
23,바다뷰제빵소,강원 양양군 동해대로 3296-0,간이음식
24,보사노바커피로스터스속초점,강원 속초시 해오름로 161-0,카페/찻집
25,속초항아리물회,강원 속초시 해오름로188번길 11-0,전문음식
26,영광정메밀국수,강원 양양군 진미로 446-0,한식
27,초당두부마을,강원 강릉시,음식점기타
28,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집
29,대청마루[한식],강원 속초시 관광로 430-0,한식
30,산토리니,강원 춘천시 순환대로 1154-97,카페/찻집
31,칠성조선소,강원 속초시 중앙로46번길 45-0,카페/찻집
32,금수강산막국수,강원 홍천군 한치골길 785-0,한식
33,이모네식당,강원 속초시 영랑해안6길 16-0,한식
34,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집
35,평창한우마을대관령점,강원 평창군 경강로 5195-25,한식
36,까치둥지,강원 원주시 치악로 1731-0,한식
37,단천식당,강원 속초시 아바이마을길 17-0,한식
38,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식
39,강릉동화가든짬뽕순두부속초점,강원 속초시 관광로 433-0,한식
40,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,카페/찻집
41,황태회관,강원 평창군 눈마을길 19-0,한식
42,파머스키친2호점,강원 양양군 동산큰길 44-39,간이음식
43,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집
44,바람꽃해녀마을속초본점,강원 속초시 바람꽃마을길 37-0,전문음식
45,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식
46,카페 설악산로,강원 속초시 설악산로 108-0,카페/찻집
47,춘천닭갈비골목,강원 춘천시 금강로62번길 7-0,음식점기타
48,물치항회센터,강원 양양군 동해대로 3584-0,전문음식
49,장안횟집,강원 강릉시 진리항구길 51-0,전문음식
50,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집
