순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,203972
2,레포츠,캠핑,104746
3,레포츠,등산,85976
4,레포츠,스키,76129
5,레포츠,서핑,58103
6,기타,투어,47518
7,휴식/힐링,나들이,44094
8,휴식/힐링,휴양,42150
9,레포츠,산행,41320
10,레포츠,낚시,39029
11,레포츠,레저,25566
12,레포츠,트레킹,24525
13,휴식/힐링,불멍,22534
14,휴식/힐링,야영,18874
15,휴식/힐링,즐길거리,18758
16,레포츠,차박,16219
17,레포츠,글램핑,15707
18,휴식/힐링,피크닉,14899
19,기타,해외여행,14124
20,휴식/힐링,호캉스,13974
21,휴식/힐링,물멍,10206
22,휴식/힐링,겨울여행,10156
23,레포츠,오토캠핑,9820
24,미식,먹부림,9358
25,기타,답사,9289
26,레포츠,스노쿨링,9042
27,레포츠,래프팅,8942
28,기타,데이트코스,8923
29,레포츠,트래킹,8544
30,휴식/힐링,힐링여행,8459
31,레포츠,레포츠,7248
32,레포츠,스노클링,6323
33,휴식/힐링,가을여행,6282
34,체험,수학여행,6034
35,레포츠,하이킹,5907
36,레포츠,수상레저,5636
37,휴식/힐링,바다멍,5604
38,미식,맛집탐방,5599
39,휴식/힐링,워케이션,5558
40,레포츠,카약,5434
41,레포츠,짚라인,5304
42,미식,맛집투어,5130
43,미식,카페투어,4952
44,레포츠,백패킹,4658
45,휴식/힐링,재충전,4612
46,체험,템플스테이,4342
47,레포츠,클라이밍,4160
48,기타,기차여행,4111
49,휴식/힐링,신혼여행,3983
50,체험,생태체험,3980
51,휴식/힐링,테라피,3684
52,레포츠,바다낚시,3682
53,미식,빵지순례,3594
54,레포츠,패러글라이딩,3456
55,미식,바베큐파티,3296
56,레포츠,스노우보드,3027
57,레포츠,캠프파이어,2894
58,휴식/힐링,촌캉스,2888
59,레포츠,스쿠버,2883
60,레포츠,레저스포츠,2871
61,체험,시티투어,2841
62,체험,농촌체험,2748
63,휴식/힐링,단풍놀이,2709
64,레포츠,빠지,2683
65,레포츠,골프여행,2647
66,휴식/힐링,우정여행,2449
67,레포츠,수상스키,2432
68,레포츠,해양레저,2419
69,레포츠,캠핑족,2295
70,휴식/힐링,생태관광,2294
71,휴식/힐링,태교여행,2289
72,레포츠,오프로드,2285
73,레포츠,노지캠핑,2241
74,휴식/힐링,드라이브코스,2230
75,기타,추억여행,2199
76,기타,걷기여행,2109
77,휴식/힐링,일광욕,2093
78,기타,일본여행,2047
79,기타,도보여행,1986
80,체험,숲체험,1933
81,레포츠,패들보드,1870
82,체험,vr체험,1773
83,체험,어촌체험,1766
84,레포츠,스킨스쿠버,1755
85,레포츠,번지점프,1742
86,레포츠,암벽등반,1732
87,기타,부산여행,1699
88,레포츠,감성캠핑,1636
89,기타,제주여행,1593
90,휴식/힐링,봄여행,1549
90,레포츠,게이트볼,1549
92,기타,자유여행,1524
93,기타,스탬프투어,1493
94,레포츠,바나나보트,1460
95,미식,먹방여행,1458
96,레포츠,제트보트,1453
97,레포츠,스쿠버다이빙,1418
98,레포츠,제트스키,1346
99,체험,목공체험,1329
100,레포츠,루어낚시,1281
101,미식,고기파티,1272
102,미식,먹킷리스트,1256
103,휴식/힐링,즉흥여행,1250
104,휴식/힐링,숲멍,1193
105,기타,제주도여행,1187
106,기타,배낭여행,1185
107,기타,유럽여행,1179
108,기타,패키지여행,1145
109,레포츠,산악자전거,1137
110,레포츠,빙벽등반,1133
111,체험,동물체험,1119
112,레포츠,트레일러닝,1079
113,레포츠,웨이크보드,1065
114,체험,한옥스테이,1049
115,체험,루지체험,1045
116,체험,갯벌체험,990
117,레포츠,해양스포츠,985
118,기타,테마여행,960
119,체험,낚시체험,959
120,레포츠,수상스포츠,925
121,기타,세계여행,901
122,레포츠,윈드서핑,899
123,체험,한복체험,893
124,체험,먹이주기체험,880
125,레포츠,스키여행,876
126,레포츠,프리다이빙,864
127,체험,승마체험,857
128,미식,식도락여행,848
129,휴식/힐링,온천여행,830
130,체험,공예체험,818
131,레포츠,캠핑여행,800
132,체험,서핑체험,746
133,휴식/힐링,감성여행,736
134,휴식/힐링,차크닉,727
135,휴식/힐링,요트투어,712
136,휴식/힐링,숲캉스,704
137,레포츠,카라반캠핑,700
138,레포츠,골프투어,670
139,레포츠,써핑,650
140,휴식/힐링,파도멍,648
141,체험,쿠킹클래스,632
142,레포츠,스케이트보드,607
143,휴식/힐링,산멍,594
144,레포츠,버기카,586
145,레포츠,블롭점프,563
146,체험,놀이체험,562
147,체험,버스투어,558
148,기타,졸업여행,555
149,기타,자전거여행,552
150,레포츠,패들보트,549
151,체험,족욕체험,546
152,체험,목공예체험,536
153,레포츠,해양레포츠,530
154,기타,역사여행,524
155,체험,카누체험,517
156,휴식/힐링,일출뷰,513
157,레포츠,스카이다이빙,504
158,체험,전쟁체험,499
159,레포츠,글라이더,494
160,레포츠,민물낚시,487
161,레포츠,애슬레저,482
162,휴식/힐링,벚꽃여행,466
163,레포츠,ssi,465
164,체험,갯배체험,459
165,미식,애프터눈티,442
166,레포츠,bmx,424
167,휴식/힐링,낭만여행,423
168,휴식/힐링,노을뷰,414
169,휴식/힐링,눈꽃여행,408
170,체험,클라이밍체험,405
171,휴식/힐링,허니문,399
172,레포츠,캠크닉,388
173,기타,세계일주,384
174,레포츠,오픈워터,383
175,체험,다도체험,372
176,기타,일출여행,364
177,체험,택시투어,357
