순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,강원특별자치도,정선군,강원랜드 카지노,202301,220785.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202302,207020.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202303,191236.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202304,190449.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202305,193181.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202306,187273.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202307,208161.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202308,234592.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202309,193570.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202310,192339.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202311,170668.0,2390086.0
1,강원특별자치도,정선군,강원랜드 카지노,202312,200812.0,2390086.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202301,68402.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202302,82574.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202303,91251.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202304,90566.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202305,102003.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202306,82993.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202307,101192.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202308,112818.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202309,140473.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202310,329396.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202311,170830.0,1470642.0
2,강원특별자치도,속초시,설악산국립공원(설악동),202312,98144.0,1470642.0
3,강원특별자치도,춘천시,남이섬유원지,202301,51579.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202302,39977.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202303,41900.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202304,33945.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202305,105778.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202306,69463.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202307,46936.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202308,56529.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202309,53804.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202310,115881.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202311,135098.0,893843.0
3,강원특별자치도,춘천시,남이섬유원지,202312,142953.0,893843.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202301,26201.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202302,38278.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202303,45526.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202304,83191.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202305,88145.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202306,76646.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202307,30213.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202308,34960.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202309,59230.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202310,196017.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202311,65993.0,765670.0
4,강원특별자치도,철원군,철원한탄강 주상절리길 잔도,202312,21270.0,765670.0
5,강원특별자치도,속초시,속초해수욕장,202301,58689.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202302,68203.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202303,49316.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202304,52755.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202305,58086.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202306,68983.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202307,92431.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202308,106248.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202309,54994.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202310,62071.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202311,36524.0,757507.0
5,강원특별자치도,속초시,속초해수욕장,202312,49207.0,757507.0
6,강원특별자치도,속초시,아바이마을(갯배),202301,53584.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202302,64893.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202303,43190.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202304,45300.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202305,62085.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202306,54322.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202307,54060.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202308,66200.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202309,41812.0,687110.0
6,강원특별자치도,속초시,아바이마을(갯배),202310,107224.0,687110.0
