연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
1,서부시장,용강옛날집,11:00-19:00,식당/음식,"강원도 강릉시 임영로155번길 6 서부시장 1층 05,06,08호","강원도 강릉시 용강동 29 서부시장 1층 05,06,08호",033-641-7765,37.75493618,128.8905183,2021-12-10
2,서부시장,빈점포,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 07호,강원도 강릉시 용강동 29 서부시장 1층 07호,,37.75496598,128.8905173,2021-12-10
3,서부시장,천사운동본부,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 10호,강원도 강릉시 용강동 29 서부시장 1층 10호,,37.75498686,128.8905596,2021-12-10
4,서부시장,용강손만두,11:00-19:00,식당/음식,"강원도 강릉시 임영로155번길 6 서부시장 1층 09,11호","강원도 강릉시 용강동 29 서부시장 1층 09,11호",,37.75500622,128.8905376,2021-12-10
5,서부시장,애터미,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 12호,강원도 강릉시 용강동 29 서부시장 1층 12호,,37.7550096,128.8905741,2021-12-10
6,서부시장,서부상회,11:00-19:00,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 13호,15호","강원도 강릉시 용강동 29 서부시장 1층 13호,15호",033-646-8449,37.75506189,128.8905676,2021-12-10
7,서부시장,정원기름집,11:00-19:00,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 17호,19호","강원도 강릉시 용강동 29 서부시장 1층 17호,19호",033-643-3223,37.75512205,128.8906016,2021-12-10
8,서부시장,더 베스트,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 14호,강원도 강릉시 용강동 29 서부시장 1층 14호,033-655-3727,37.75503462,128.890588,2021-12-10
9,서부시장,휴업중,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 16호,강원도 강릉시 용강동 29 서부시장 1층 16호,,37.75506417,128.8906023,2021-12-10
10,서부시장,정원기름집,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 18호,강원도 강릉시 용강동 29 서부시장 1층 18호,,37.75509507,128.8906213,2021-12-10
11,서부시장,서부상회 창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 20호,강원도 강릉시 용강동 29 서부시장 1층 20호,,37.75512431,128.8906371,2021-12-10
12,서부시장,주문진생선,11:00-19:00,식당/음식,"강원도 강릉시 임영로155번길 6 서부시장 1층 21호,23호","강원도 강릉시 용강동 29 서부시장 1층 21호,23호",,37.75518106,128.8906357,2021-12-10
13,서부시장,금수산,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 22호,강원도 강릉시 용강동 29 서부시장 1층 22호,,37.75515524,128.8906539,2021-12-10
14,서부시장,여성회,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 24호,강원도 강릉시 용강동 29 서부시장 1층 24호,,37.75518839,128.8906741,2021-12-10
15,서부시장,제주맛자랑,11:00-19:00,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 25호,27호","강원도 강릉시 용강동 29 서부시장 1층 25호,27호",033-647-1452,37.75524915,128.8906703,2021-12-10
16,서부시장,플랫폼155,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 26호,강원도 강릉시 용강동 29 서부시장 1층 26호,,37.7552216,128.8906899,2021-12-10
17,서부시장,신용상회 창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 28호,강원도 강릉시 용강동 29 서부시장 1층 28호,,37.75525926,128.890712,2021-12-10
18,서부시장,사무실,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 70호,강원도 강릉시 용강동 29 서부시장 1층 70호,,37.75492431,128.8905691,2021-12-10
19,서부시장,더굳 인테리어,11:00-21:00,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 69호,71호,72호,73호,77호,78호","강원도 강릉시 용강동 29 서부시장 1층 69호,71호,72호,73호,77호,78호",,37.75497653,128.8906376,2021-12-10
20,서부시장,용강옛날집창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 74호,강원도 강릉시 용강동 29 서부시장 1층 74호,,37.75504858,128.8906551,2021-12-10
21,서부시장,서부생선 창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 75호,강원도 강릉시 용강동 29 서부시장 1층 75호,,37.75503388,128.8906869,2021-12-10
22,서부시장,강릉부동산컨설팅,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 76호,강원도 강릉시 용강동 29 서부시장 1층 76호,033-642-0001,37.75501802,128.8907387,2021-12-10
23,서부시장,(사)강릉시상업경영인연합회,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 79호,강원도 강릉시 용강동 29 서부시장 1층 79호,,37.75509066,128.8906837,2021-12-10
24,서부시장,빈점포,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 81호,강원도 강릉시 용강동 29 서부시장 1층 81호,,37.755078,128.8907131,2021-12-10
25,서부시장,용강그릇 창고,,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 83호,85호","강원도 강릉시 용강동 29 서부시장 1층 83호,85호",,37.75506163,128.8907609,2021-12-10
26,서부시장,강릉 CCC,09:00-23:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 80호,강원도 강릉시 용강동 29 서부시장 1층 80호,,37.75512373,128.8907089,2021-12-10
27,서부시장,채희작업실_말곳간,11:00-21:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 82호,강원도 강릉시 용강동 29 서부시장 1층 82호,,37.75510966,128.8907374,2021-12-10
28,서부시장,휴업중,,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 84호,86호","강원도 강릉시 용강동 29 서부시장 1층 84호,86호",,37.75509678,128.89078,2021-12-10
29,서부시장,빈점포,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 87호,강원도 강릉시 용강동 29 서부시장 1층 87호,,37.75507797,128.8908381,2021-12-10
30,서부시장,연지식당 창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 88호,강원도 강릉시 용강동 29 서부시장 1층 88호,,37.75516861,128.89074,2021-12-10
31,서부시장,샬롬기획,11:00-21:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 89호,강원도 강릉시 용강동 29 서부시장 1층 89호,033-644-9349,37.75520855,128.8907607,2021-12-10
32,서부시장,쎈택스,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 90호,강원도 강릉시 용강동 29 서부시장 1층 90호,,37.75515734,128.8907708,2021-12-10
33,서부시장,염색방,11:00-19:00,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 91호,강원도 강릉시 용강동 29 서부시장 1층 91호,,37.75519832,128.8907972,2021-12-10
34,서부시장,강원 스킨스쿠버 사무실,09:00-23:00,기타,"강원도 강릉시 임영로155번길 6 서부시장 1층 92호,94호","강원도 강릉시 용강동 29 서부시장 1층 92호,94호",,37.75514221,128.8908119,2021-12-10
35,서부시장,빈점포,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 96호,강원도 강릉시 용강동 29 서부시장 1층 96호,,37.75512197,128.8908539,2021-12-10
36,서부시장,동화제약 창고,,기타,강원도 강릉시 임영로155번길 6 서부시장 1층 98호,강원도 강릉시 용강동 29 서부시장 1층 98호,,37.75511224,128.8908947,2021-12-10
37,서부시장,일일가정식,11:00-19:00,식당/음식,강원도 강릉시 임영로155번길 6 서부시장 1층 93호,강원도 강릉시 용강동 29 서부시장 1층 93호,0507-1343-8287,37.75518398,128.8908247,2021-12-10
38,서부시장,서부식당,11:00-19:00,식당/음식,"강원도 강릉시 임영로155번길 6 서부시장 1층 95호,97호","강원도 강릉시 용강동 29 서부시장 1층 95호,97호",033-643-0059,37.75517455,128.8908648,2021-12-10
