연번,전통시장명,상호명,운영시간,업종구분,도로명 주소,지번 주소,전화번호,위도,경도,데이터기준
1,주문진좌판풍물시장,회 뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912030170922,128.829080969712,2021-12-10
2,주문진좌판풍물시장,회 뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912030170922,128.829080969712,2021-12-10
3,주문진좌판풍물시장,회 뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912030170922,128.829080969712,2021-12-10
4,주문진좌판풍물시장,쌍둥이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910757202342,128.829078310162,2021-12-10
5,주문진좌판풍물시장,혁범이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89108249069471,128.82907847772,2021-12-10
6,주문진좌판풍물시장,재분이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910891243648,128.829078613019,2021-12-10
7,주문진좌판풍물시장,경미네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8910958266544,128.829078750016,2021-12-10
8,주문진좌판풍물시장,으뜸수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.89110266573449,128.829078919273,2021-12-10
9,주문진좌판풍물시장,문희네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911093671268,128.829079113995,2021-12-10
10,주문진좌판풍물시장,어매자반,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891116046991904,128.829079221564,2021-12-10
11,주문진좌판풍물시장,하중이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891122678867504,128.829079472313,2021-12-10
12,주문진좌판풍물시장,아현이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891132998259295,128.829079496714,2021-12-10
13,주문진좌판풍물시장,본수네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911399974516,128.829079669933,2021-12-10
14,주문진좌판풍물시장,선희네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911467679121,128.829079837491,2021-12-10
15,주문진좌판풍물시장,막내네집,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911536298652,128.829080007314,2021-12-10
16,주문진좌판풍물시장,왕수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911606084273,128.829080035655,2021-12-10
17,주문진좌판풍물시장,장원수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891167606722306,128.829080266599,2021-12-10
18,주문진좌판풍물시장,준영이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911745135246,128.829080495279,2021-12-10
19,주문진좌판풍물시장,동일이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911814687649,128.829080551917,2021-12-10
20,주문진좌판풍물시장,옥화조개,07:00~20:00,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891188650942496,128.829080729665,2021-12-10
21,주문진좌판풍물시장,유진수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1747-3,강원도 강릉시 주문진읍 주문리 312-458,,37.891195880660895,128.829080793096,2021-12-10
22,주문진좌판풍물시장,회 뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912030170922,128.829080969712,2021-12-10
23,주문진좌판풍물시장,커피집,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-735,,37.891271514334896,128.829082756028,2021-12-10
24,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
25,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
26,주문진좌판풍물시장,회뜨는 장소,08:00-19:30,기타,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912551852412,128.829218052906,2021-12-10
27,주문진좌판풍물시장,석민네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912436090592,128.829082065412,2021-12-10
28,주문진좌판풍물시장,동성호,08:30-20:00,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891236655613504,128.829081893324,2021-12-10
29,주문진좌판풍물시장,못난이수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,0507-1327-128,37.89122961426391,128.829081488073,2021-12-10
30,주문진좌판풍물시장,고래수산,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8912227514136,128.829081375974,2021-12-10
31,주문진좌판풍물시장,대지네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.8911326472349,128.82913492507,2021-12-10
32,주문진좌판풍물시장,재민이네,08:00-19:30,수산물,강원도 강릉시 주문진읍 해안로 1758-10,강원도 강릉시 주문진읍 주문리 312-713,,37.891139646427,128.829135098295,2021-12-10
