연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
1,중앙시장,삼흥미곡,09:00-18:00,농산물/청과,"강원도 강릉시 금성로 21 중앙시장 1층 1,2호","강원도 강릉시 성남동 50 중앙시장 1층 1,2호",033-648-2714,37.7540033,128.8982246,2021-12-10
2,중앙시장,창고(3호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 3호,강원도 강릉시 성남동 50 중앙시장 1층 3호,,37.7541918,128.8982995,2021-12-10
3,중앙시장,햅번,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 4호,강원도 강릉시 성남동 50 중앙시장 1층 4호,,37.7543392,128.8982158,2021-12-10
4,중앙시장,창고(5호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 5호,강원도 강릉시 성남동 50 중앙시장 1층 5호,,37.7540218,128.8982488,2021-12-10
5,중앙시장,창고(6호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 6호,강원도 강릉시 성남동 50 중앙시장 1층 6호,,37.7540487,128.8982033,2021-12-10
6,중앙시장,대승상회,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 13호,강원도 강릉시 성남동 50 중앙시장 1층 13호,033-643-7075,37.7540324,128.8982486,2021-12-10
7,중앙시장,연선포목,09:00-18:00,침구/주단,"강원도 강릉시 금성로 21 중앙시장 1층 14,15,16호","강원도 강릉시 성남동 50 중앙시장 1층 14,15,16호",033-646-3715,37.7539895,128.8982875,2021-12-10
8,중앙시장,성창옷집,09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 17,18호","강원도 강릉시 성남동 50 중앙시장 1층 17,18호",,37.7539277,128.8982128,2021-12-10
9,중앙시장,연선건어물,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 25~27호,강원도 강릉시 성남동 50 중앙시장 1층 25~27호,0507-1415-1989,37.7540634,128.8982358,2021-12-10
10,중앙시장,유진주단,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 28~30호,강원도 강릉시 성남동 50 중앙시장 1층 28~30호,033-644-3853,37.7539605,128.8982342,2021-12-10
11,중앙시장,제일포목(31호),09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 31호,강원도 강릉시 성남동 50 중앙시장 1층 31호,033-648-7233,37.7539314,128.8982955,2021-12-10
12,중앙시장,영창건어물,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 39호,강원도 강릉시 성남동 50 중앙시장 1층 39호,033-641-5578,37.7541971,128.898286,2021-12-10
13,중앙시장,창고(40호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 40호,강원도 강릉시 성남동 50 중앙시장 1층 40호,,37.7539807,128.8982159,2021-12-10
14,중앙시장,창고(41호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 41호,강원도 강릉시 성남동 50 중앙시장 1층 41호,,37.7539807,128.8982159,2021-12-10
15,중앙시장,창고(42호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 42호,강원도 강릉시 성남동 50 중앙시장 1층 42호,,37.7539537,128.8982465,2021-12-10
16,중앙시장,담배집,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 1층 43호,강원도 강릉시 성남동 50 중앙시장 1층 43호,033-646-5389,37.7539124,128.8982684,2021-12-10
17,중앙시장,"제일포목(44,45호)",09:00-18:00,침구/주단,"강원도 강릉시 금성로 21 중앙시장 1층 44,45호","강원도 강릉시 성남동 50 중앙시장 1층 44,45호",,37.7539158,128.8982519,2021-12-10
18,중앙시장,우성건어물,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 53호,강원도 강릉시 성남동 50 중앙시장 1층 53호,033-648-0384,37.7541057,128.8982072,2021-12-10
19,중앙시장,빈점포(54호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 54호,강원도 강릉시 성남동 50 중앙시장 1층 54호,,37.7540185,128.8982832,2021-12-10
20,중앙시장,"창고(55,56호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 55,56호","강원도 강릉시 성남동 50 중앙시장 1층 55,56호",,37.7539636,128.8982126,2021-12-10
21,중앙시장,화신주단,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 57~59호,강원도 강릉시 성남동 50 중앙시장 1층 57~59호,033-648-5200,37.7539096,128.898265,2021-12-10
22,중앙시장,풍강건어물,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 67,68호","강원도 강릉시 성남동 50 중앙시장 1층 67,68호",033-648-3054,37.7542986,128.898235,2021-12-10
23,중앙시장,요술나라,09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 71,72호","강원도 강릉시 성남동 50 중앙시장 1층 71,72호",,37.7540593,128.8982844,2021-12-10
24,중앙시장,법성상회,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 73호,강원도 강릉시 성남동 50 중앙시장 1층 73호,,37.7540496,128.8982897,2021-12-10
25,중앙시장,영림건어물,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 81호,강원도 강릉시 성남동 50 중앙시장 1층 81호,033-648-7301,37.7538336,128.8982411,2021-12-10
26,중앙시장,창고(84호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 84호,강원도 강릉시 성남동 50 중앙시장 1층 84호,,37.7540665,128.8982737,2021-12-10
27,중앙시장,강릉커텐,09:00-18:00,기타,"강원도 강릉시 금성로 21 중앙시장 1층 85,86호","강원도 강릉시 성남동 50 중앙시장 1층 85,86호",033-644-2004,37.7540555,128.8982621,2021-12-10
