연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
1,동부시장,창고(kt기기),,기타,강원도 강릉시 옥천로 48 동부시장1층,강원도 강릉시 옥천동 223 동부시장1층,,37.759992,128.901057,2021-12-10
2,동부시장,민경양품,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층122호,강원도 강릉시 옥천동 223 동부시장1층 122호,033-645-3971,37.760279,128.901176,2021-12-10
3,동부시장,베스트크리닝,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층123호,강원도 강릉시 옥천동 223 동부시장1층 123호,033-646-9972,37.760318,128.901176,2021-12-10
4,동부시장,선물의 집,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 13호,강원도 강릉시 옥천동 223 동부시장1층 13호,033-646-0429,37.760143,128.900767,2021-12-10
5,동부시장,친환경페인트,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 14호,강원도 강릉시 옥천동 223 동부시장1층 14호,,37.760339,128.900841,2021-12-10
6,동부시장,신앙촌상회,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 15호,강원도 강릉시 옥천동 223 동부시장1층 15호,,37.760236,128.900848,2021-12-10
7,동부시장,동부가방,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 16호,강원도 강릉시 옥천동 223 동부시장1층 16호,,37.760271,128.900813,2021-12-10
8,동부시장,창고,,기타,강원도 강릉시 옥천로 48 동부시장1층 17호,강원도 강릉시 옥천동 223 동부시장1층 17호,,37.760325,128.90084,2021-12-10
9,동부시장,정든쌀집,09:00-18:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장1층 18호,강원도 강릉시 옥천동 223 동부시장1층 18호,033-644-4052,37.760375,128.900856,2021-12-10
10,동부시장,경민2호점,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 19호,강원도 강릉시 옥천동 223 동부시장1층 19호,,37.760429,128.900866,2021-12-10
11,동부시장,영동청과,09:00-18:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장1층 20호,강원도 강릉시 옥천동 223 동부시장1층 20호,033-662-3537,37.760472,128.900879,2021-12-10
12,동부시장,희망미용실,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 21호,강원도 강릉시 옥천동 223 동부시장1층 21호,033-648-2014,37.760492,128.900784,2021-12-10
13,동부시장,쌍둥이네,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 22호,강원도 강릉시 옥천동 223 동부시장1층 22호,,37.760441,128.900773,2021-12-10
