연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준
1,주문진건어물시장,소라네건어물,07:30-22:00,수산물,강원도 강릉시 주문진읍 해안로 1707,강원도 강릉시 주문진읍 교항리 167-34,033-662-6291,37.887538999999904,128.828628,2021-12-10
2,주문진건어물시장,소라네건어물,07:30-22:00,건어물,강원도 강릉시 주문진읍 해안로 1707,강원도 강릉시 주문진읍 교항리 167-34,033-662-6291,37.88731299999991,128.828653,2021-12-10
3,주문진건어물시장,해진건어물,08:00-21:00,수산물,강원도 강릉시 주문진읍 해안로 1709,강원도 강릉시 주문진읍 교항리 167-26,033-662-2246,37.887672,128.828572,2021-12-10
4,주문진건어물시장,수진네건어물,08:00-20:00,수산물,강원도 강릉시 주문진읍 해안로 1713,강원도 강릉시 주문진읍 교항리 167-1,033-662-9953,37.888114,128.828417999999,2021-12-10
5,주문진건어물시장,김가네건어물,08:00-20:00,수산물,강원도 강릉시 주문진읍 해안로 1717-1,강원도 강릉시 주문진읍 교항리 167-18,033-662-0944,37.888443,128.828295999999,2021-12-10
6,주문진건어물시장,부천건어물,07:30-20:00,수산물,강원도 강릉시 주문진읍 해안로 1719,강원도 강릉시 주문진읍 교항리 167-12,033-662-1110,37.888534999999905,128.828277,2021-12-10
7,주문진건어물시장,실비생선구이1호점,07:00-22:00,식당/음식,강원도 강릉시 주문진읍 해안로 1719-1,강원도 강릉시 주문진읍 교항리 167-12,033-661-4952,37.888668,128.828214,2021-12-10
8,주문진건어물시장,구이본부25시,05:00-23:00,식당/음식,강원도 강릉시 주문진읍 해안로 1723,강원도 강릉시 주문진읍 교항리 167-1,033-662-8044,37.888734999999905,128.828226999999,2021-12-10
9,주문진건어물시장,실비구이2호점,06:00-22:00,식당/음식,강원도 강릉시 주문진읍 해안로 1723,강원도 강릉시 주문진읍 교항리 167-1,033-662-4952,37.888817,128.828222,2021-12-10
10,주문진건어물시장,건모네건어물,10:00-22:00,수산물,강원도 강릉시 주문진읍 해안로 1723,강원도 강릉시 주문진읍 교항리 167-1,033-662-8510,37.888921,128.828212,2021-12-10
11,주문진건어물시장,청주진천건어물,07:00-22:00,수산물,강원도 강릉시 주문진읍 해안로 1727,강원도 강릉시 주문진읍 교항리 167-7,033-661-5062,37.889111999999905,128.828176,2021-12-10
12,주문진건어물시장,박가네건어물,07:00-20:00,수산물,강원도 강릉시 주문진읍 해안로 1727-2,강원도 강릉시 주문진읍 교항리 184-89,033-662-9955,37.889305999999905,128.828165,2021-12-10
13,주문진건어물시장,최대게,11:00-22:00,식당/음식,강원도 강릉시 주문진읍 해안로 1729,강원도 강릉시 주문진읍 교항리 172-31,033-661-5579,37.889460999999905,128.828101,2021-12-10
14,주문진건어물시장,최대게,11:00-22:00,식당/음식,강원도 강릉시 주문진읍 해안로 1729,강원도 강릉시 주문진읍 교항리 172-31,033-661-5579,37.889369,128.828151999999,2021-12-10
15,주문진건어물시장,제일건어물,08:30-22:00,수산물,강원도 강릉시 주문진읍 해안로 1731,강원도 강릉시 주문진읍 교항리 184-87,033-662-4542,37.889601999999904,128.828132,2021-12-10
16,주문진건어물시장,충남논산보령건어물,08:00-21:00,수산물,강원도 강릉시 주문진읍 해안로 1733-1,강원도 강릉시 주문진읍 교항리 184-97,033-661-3311,37.889730999999905,128.82817,2021-12-10
17,주문진건어물시장,신희유통건어물,08:00-22:00,수산물,강원도 강릉시 주문진읍 해안로 1733-2,강원도 강릉시 주문진읍 교항리 184-110,033-662-2362,37.88983,128.828136,2021-12-10
18,주문진건어물시장,명진건어물,09:00-19:00,수산물,강원도 강릉시 주문진읍 해안로 1735,강원도 강릉시 주문진읍 교항리 184-99,033-662-4736,37.890143,128.828158999999,2021-12-10
19,주문진건어물시장,대게좋은날,10:00-21:00,식당/음식,강원도 강릉시 주문진읍 해안로 1737,강원도 강릉시 주문진읍 교항리 184-86,033-661-2999,37.890206999999904,128.828162999999,2021-12-10
