연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준
1,주문진수산시장,하나수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 36-1,강원도 강릉시 주문진읍 주문리 312-239,033-662-6757,37.8909659891293,128.827481136595,2021-12-10
2,주문진수산시장,대용이네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,,37.89100175259,128.827487865161,2021-12-10
3,주문진수산시장,수성상회,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-661-5765,37.891036528457,128.827494243863,2021-12-10
4,주문진수산시장,해상젓갈,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,,37.8910155309245,128.827532313247,2021-12-10
5,주문진수산시장,상진수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-3300,37.8910067958446,128.827566529145,2021-12-10
6,주문진수산시장,경북식품,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,033-662-7079,37.8910987815494,128.827573019237,2021-12-10
7,주문진수산시장,동진네횟집,09:00-20:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-7769,37.8911387442274,128.82758822143,2021-12-10
8,주문진수산시장,동진네횟집,09:00-20:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-7769,37.8911387442274,128.82758822143,2021-12-10
9,주문진수산시장,화동문어집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 3-3,강원도 강릉시 주문진읍 주문리 312-91,033-662-2703,37.89097929802391,128.82762353734,2021-12-10
10,주문진수산시장,화동문어집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 3-3,강원도 강릉시 주문진읍 주문리 312-91,033-662-2703,37.8910004000447,128.82780546815,2021-12-10
11,주문진수산시장,거평수산,08:30-21:00,수산물,강원도 강릉시 주문진읍 시장길 38 주문진수산시장 내 120~1호,강원도 강릉시 주문진읍 주문리 312-91 주문진수산시장 내 120~1호,033-661-6582,37.89096939966031,128.827693415591,2021-12-10
12,주문진수산시장,민자횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 2-1,강원도 강릉시 주문진읍 주문리 312-436,033-662-8189,37.89095783078471,128.827776902773,2021-12-10
13,주문진수산시장,민자횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 2-1,강원도 강릉시 주문진읍 주문리 312-436,,37.89095783078471,128.827776902773,2021-12-10
14,주문진수산시장,일출횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,033-662-0024,37.8909962839026,128.827841131138,2021-12-10
15,주문진수산시장,화동문어집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 3-3,강원도 강릉시 주문진읍 주문리 312-91,033-662-2703,37.8910436526831,128.827813084217,2021-12-10
16,주문진수산시장,경상도집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4-1,강원도 강릉시 주문진읍 주문리 312-91,033-662-2394,37.891004915812495,128.827769632817,2021-12-10
17,주문진수산시장,거평수산,08:30-21:00,수산물,강원도 강릉시 주문진읍 시장길 38 주문진수산시장 141호,강원도 강릉시 주문진읍 주문리 312-91,033-661-6582,37.8910096813296,128.827733611167,2021-12-10
18,주문진수산시장,거평수산,08:30-21:00,수산물,강원도 강릉시 주문진읍 시장길 38 주문진수산시장 141호,강원도 강릉시 주문진읍 주문리 312-91,033-661-6582,37.891018305586,128.827668078816,2021-12-10
19,주문진수산시장,화동문어집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 3-3,강원도 강릉시 주문진읍 주문리 312-91,033-662-2703,37.8910246135441,128.827614968935,2021-12-10
20,주문진수산시장,마리아네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.8910676188762,128.827624100378,2021-12-10
20,주문진수산시장,마리아네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.8910676188762,128.827624100378,2021-12-10
21,주문진수산시장,빙칠이네 대게문어,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.8910635812931,128.827659628609,2021-12-10
22,주문진수산시장,금단네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-5631,37.891059429826896,128.827695007401,2021-12-10
23,주문진수산시장,공주상회,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,033-661-1498,37.8910500695435,128.827760418743,2021-12-10
24,주문진수산시장,화동문어집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 3-3,강원도 강릉시 주문진읍 주문리 312-91,033-662-2703,37.89097929802391,128.82762353734,2021-12-10
25,주문진수산시장,명화수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4,강원도 강릉시 주문진읍 주문리 312-359,033-662-4987,37.8910921045049,128.827785033864,2021-12-10
26,주문진수산시장,명화수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4,강원도 강릉시 주문진읍 주문리 312-359,033-662-4987,37.8912340926244,128.827951100598,2021-12-10
27,주문진수산시장,명화수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4,강원도 강릉시 주문진읍 주문리 312-359,033-662-4987,37.891039411214095,128.827848644037,2021-12-10
28,주문진수산시장,명화수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4,강원도 강릉시 주문진읍 주문리 312-359,033-662-4987,37.891085544018,128.827838743169,2021-12-10
29,주문진수산시장,민자수산,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4,강원도 강릉시 주문진읍 주문리 312-359,033-661-2848,37.8909498285368,128.827839905612,2021-12-10
