연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준
1,주문진종합시장,유성집,11:30-17:00,식당/음식,강원도 강릉시 주문진읍 구시장길 9-2,강원도 강릉시 주문진읍 주문리 321-10,033-662-3168,37.89135,128.826682,2021-12-10
2,주문진종합시장,삼성식당,08:00-19:00,식당/음식,강원도 강릉시 주문진읍 구시장길 9,강원도 강릉시 주문진읍 주문리 321-11,033-662-3366,37.89137,128.826771,2021-12-10
3,주문진종합시장,형제방앗간,04:00-19:00,기타,강원도 강릉시 주문진읍 구시장길 11-4,강원도 강릉시 주문진읍 주문리 321-13,033-661-3750,37.891391,128.826839,2021-12-10
4,주문진종합시장,난전(김종매),09:00-17:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 8-1,강원도 강릉시 주문진읍 주문리 321-52,,37.891176,128.826822,2021-12-10
5,주문진종합시장,난전(백춘화),09:00-17:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 8-1,강원도 강릉시 주문진읍 주문리 321-52,033-661-0158,37.891174,128.826859,2021-12-10
6,주문진종합시장,사천집,08:00-18:00,식당/음식,강원도 강릉시 주문진읍 구시장길 11-1,강원도 강릉시 주문진읍 주문리 312-266,033-662-3774,37.891429,128.826997,2021-12-10
7,주문진종합시장,농민후계자식육점,08:00-21:00,축산물,강원도 강릉시 주문진읍 시장1길 8,강원도 강릉시 주문진읍 주문리 312-241,033-662-8745,37.89087,128.827454,2021-12-10
8,주문진종합시장,소돌식당,09:30-21:00,식당/음식,강원도 강릉시 주문진읍 구시장길 11,강원도 강릉시 주문진읍 주문리 312-264,0507-1319-6473,37.891428,128.827068,2021-12-10
9,주문진종합시장,사랑왕순대,07:30-21:30,식당/음식,강원도 강릉시 주문진읍 시장길 37,강원도 강릉시 주문진읍 주문리 312-218,033-662-7315,37.890926,128.827193,2021-12-10
10,주문진종합시장,강원수산,12:00-24:00,수산물,강원도 강릉시 주문진읍  시장길 37,강원도 강릉시 주문진읍 주문리 312-219,0507-1310-9553,37.891003,128.827209,2021-12-10
11,주문진종합시장,강남상회,06:00-19:00,수산물,강원도 강릉시 주문진읍 시장길 37,강원도 강릉시 주문진읍 주문리 312-218,033-662-2184,37.891063,128.827222,2021-12-10
12,주문진종합시장,은성상회,07:00-19:00,수산물,강원도 강릉시 주문진읍 시장길 39,강원도 강릉시 주문진읍 주문리 312-214,033-661-4560,37.891182,128.827232,2021-12-10
13,주문진종합시장,시장분식,07:00-17:00,식당/음식,강원도 강릉시 주문진읍 구시장길 8-13,강원도 강릉시 주문진읍 주문리 321,,37.891145,128.827183,2021-12-10
14,주문진종합시장,미화식당,10:00-23:00,식당/음식,강원도 강릉시 주문진읍 구시장길 8-11,강원도 강릉시 주문진읍 주문리 321-56,033-662-2885,37.891162,128.827103,2021-12-10
15,주문진종합시장,성원방앗간,06:00-17:00,기타,강원도 강릉시 주문진읍 구시장길12,강원도 강릉시 주문진읍 주문리 321-54,033-662-2407,37.89126,128.827103,2021-12-10
16,주문진종합시장,에덴식품,07:00-20:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 8-9,강원도 강릉시 주문진읍 주문리 321-55,033-662-6314,37.891186,128.827026,2021-12-10
17,주문진종합시장,샛별식품,08:00-17:30,마트/식품,강원도 강릉시 주문진읍 구시장길 8-14,강원도 강릉시 주문진읍 주문리 321-51,033-661-1903,37.891069,128.827106,2021-12-10
18,주문진종합시장,엄마옷집,09:00-17:00,의류/잡화,강원도 강릉시 주문진읍 구시장길 8-12,강원도 강릉시 주문진읍 주문리 321-50,033-662-2540,37.891071,128.827064,2021-12-10
19,주문진종합시장,장금이반찬,08:30-18:00,식당/음식,강원도 강릉시 주문진읍 구시장길 8-10,강원도 강릉시 주문진읍 주문리 321-49,033-662-2449,37.891075,128.827022,2021-12-10
20,주문진종합시장,수원떡집,08:00-17:00,마트/식품,강원도 강릉시 주문진읍 구시장길 8-8,강원도 강릉시 주문진읍 주문리 321-47,033-662-1607,37.89108,128.82698,2021-12-10
21,주문진종합시장,주문진통닭,16:00-01:00,식당/음식,강원도 강릉시 주문진읍 구시장길 8-4,강원도 강릉시 주문진읍 주문리 321-44,,37.891079,128.826935,2021-12-10
22,주문진종합시장,맛나반찬,09:00-17:00,마트/식품,강원도 강릉시 주문진읍 구시장길 8-4,강원도 강릉시 주문진읍 주문리 321-44,033-662-2446,37.89109,128.826851,2021-12-10
23,주문진종합시장,연곡 닭김치,06:30-19:30,식당/음식,강원도 강릉시 주문진읍 구시장길 6-2,강원도 강릉시 주문진읍 주문리 321-39,033-662-7782,37.891102,128.826775,2021-12-10
24,주문진종합시장,용삼이네,07:00-20:00,식당/음식,강원도 강릉시 주문진읍 구시장길 6,강원도 강릉시 주문진읍 주문리 321-38,033-662-4675,37.891077,128.826775,2021-12-10
25,주문진종합시장,연곡쌀,07:00-19:00,농산물/청과,강원도 강릉시 주문진읍 시장길 39,강원도 강릉시 주문진읍 주문리 312-214,033-662-8537,37.891256,128.827238,2021-12-10
26,주문진종합시장,수정옷집,06:00-19:00,의류/잡화,강원도 강릉시 주문진읍 구시장길 5-4,강원도 강릉시 주문진읍 주문리 321-28,033-662-2529,37.891042,128.826634,2021-12-10
27,주문진종합시장,연곡식품,05:00-21:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 7,강원도 강릉시 주문진읍 주문리 321-26,033-662-7782,37.89109,128.826641,2021-12-10
28,주문진종합시장,삼풍상회,09:00-17:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 7-1,강원도 강릉시 주문진읍 주문리 321-24,033-662-2373,37.891126,128.826642,2021-12-10
29,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6-7,강원도 강릉시 주문진읍 교항리 188-14,,37.89098,128.827084,2021-12-10
