번호,통화일시,신고내역(위치),동물종
1,2021-01-05 10:33,신리천로606-** ,부엉이
2,2021-01-05 11:00,주문진읍 신리광장 음식점 앞,고양이
3,2021-01-08 18:02,강릉경찰서 ~ 강릉역 로타리 사이 우체국 지나서 주유소 앞 도로,불명
4,2021-01-08 18:16,입암4주공 도로 앞 강아지 사체  돈가스클럽 맞은편 인도 강아지 다쳐있음. ,강아지
5,2021-01-11 16:54,"위치 X, 고양이가 독살당한것 같다고 문의하여 축산과로 즉시 연결",고양이
6,2021-01-11 16:54,포남동 자비원 옆 공원,고양이
7,2021-01-11 17:28,주문진~강릉나가는 사천 내려가는 길 사천농협주유소 전,불명
8,2021-01-12 11:53,구정면 범일로 구정초 부근,고양이
9,2021-01-12 13:57," 주문진 , 동광석재 , 석재 쌓아놓은 인도쪽 ",강아지
10,2021-01-14 14:34,"안목 매장앞에 동물 사체 - 고양이 안목 순두부젤라또  , 주차장앞쪽에 사체 (동해상사 버스정류장쪽)",불명
11,2021-01-15 08:53,"가곡막국수 건너편, 병천순대국 가게앞 인도",고라니
12,2021-01-19 11:08,강릉수영장 약간 바로위  남강릉ic방향의 건너편 중앙선차선에 있음,고라니
13,2021-01-19 12:09,다친 비둘기강릉역앞 블루핀오피스텔 1층,비둘기
14,2021-01-20 10:52,구정리 오독빼기 전수관에서 테라로사 커피 공장 가는 길  방지턱 두번째 중앙선 쪽 ,고양이
15,2021-01-20 12:56,정동진 조각공원 안에 옛날 범선 카페앞 조형물있는곳에  상처 입음 동물있음. ,너구리 or 오소리 
16,2021-01-20 18:16,오죽헌~문성고가는 길 중간,고양이
17,2021-01-21 09:37,산행 하다 산에 다친고라니가있어서 신고,고라니
18,2021-01-21 10:42,주문진~강릉방향 7번국도 청솔공원 못미쳐서 1차선이랑 2차선 사이 동물사체,불명
19,2021-01-21 12:19,강릉역 부근 홍스떡볶이앞 고양이사체,고양이
20,2021-01-21 16:44,"주문진, 다친 검둥오리 /신리하천  주문진 터미널부근",검둥오리
21,2021-01-25 16:03,솟대다리 근처 ( 강문어촌계 성황당 뒷편),고라니
22,2021-01-26 12:49,칠성로571 (상호 : 서림건설) 앞 도로,강아지
23,2021-01-26 13:23,내곡교 다리 (의료원 방면),고양이
24,2021-01-27 08:40,화부산주유소 옆 인도,고양이
25,2021-01-27 13:20,"시청 건너편 , 터미널에서 유천가는 회전교차로",하얀색 동물 사체
26,2021-01-28 09:16, 교도소쪽으로 나가는 사임당로(  미디어촌 ) 수레정비센터 부근 1차로 ,노루
27,2021-01-28 09:39,서부지구대 -> 사임당로 40 고릴라캠핑 앞,양으로 추정
28,2021-01-28 09:45,강릉교도소 와 오른쪽 영동전문대 사이 유천지구들어가는 길목,고라니
29,2021-02-05 10:29,주문진 신리천교 다리밑에 있음,고양이
30,2021-02-08 17:30,강릉대학교지나서 썸머키친 그 앞 쓰레기 모아둔곳 파란쓰레기 봉투옆 박스,고양이
31,2021-02-08 18:14,양우내안아파트 ~ 신화아파트 도로 변,고양이
32,2021-02-10 10:31,율곡로 3167,고양이
33,2021-02-10 12:24,중앙시장 강변주차장 윗편 전신주 번호(9636C131) / 잠수교 다리 기준으로 남대천방향 잠수교 지나서 내리막길 ,고양이
34,2021-02-15 09:09,입암동 롯데마트~더샵으로 가는 골목길,고양이
35,2021-02-16 08:19,"남항진 공항대교, ( 주유소 맞은편)  길거리",강아지
36,2021-02-16 08:56,병산동 낚지대장 앞 ,고라니
37,2021-02-17 17:56,관동대학교~ 기산아파트 방향 ,고양이
38,2021-02-23 10:10,"안인에서 강릉으로 들어오는 방향, 하시동4거리가기전 동물사체 2개.",불명
39,2021-02-23 10:31,주문진 주영초교지나 소돌방향 서민수퍼앞,고양이
40,2021-02-24 16:53,내곡동 노래곡막국수 건너편,고양이
41,2021-02-24 16:58,"노래곡 막국수 건너편쪽, 로드킬신고",불명
42,2021-02-24 17:24,남부로17번길 폴리택과 관동대사이 ,고양이
43,2021-02-25 08:20,로드킬신고남강릉ic에서 나와 조금만 직진하면 중앙선에 검정색고양이 사체있음.,고양이
44,2021-03-02 13:34,경포호수부근,고라니
45,2021-03-03 17:52,"로드킬, 고양이 같아보임. 버거킹쪽 사거리 ( 우회전하면 동해기정. 좌회전하면 버거킹)  법원-> 강릉대 지나서 제일 큰 사거리 , 중앙선 ",고양이 추정
46,2021-03-08 17:22,"식자재마트옆 아파트 부영6차, 돈까스 한밀 건너편 바위조경 구석에 ",고양이
47,2021-03-09 08:37,라카이 들어가는 원형로타리예서 즈므 양지마을로가는 도로 10미터~20미터지점  고라니 사체와 사고 잔여물( 범퍼),고라니
48,2021-03-09 08:59,경포라카이호텔 원형 회전교차로근처.우측에 바로있음~ 즈므마을 방향,고라니
49,2021-03-09 16:41,[로드킬] 폴리택대학 사거리 육교끝나는 지점( 관동대 가는 방향) 강아지 사체,강아지
50,2021-03-10 08:52,신화 아파트 교육청 언던길 고양이 로드킬 신고 ,고양이
51,2021-03-10 12:18,도로명 상유천길37-11 파인산업 바로 앞에 위치함,고양이
